Zip Code,totalPop,whiteAlonePop,blackAlonePop,nativeAlonePop,asianAlonePop,hawaiiAlonePop,otherAlonePop,twoOrMorePop
1770,4119,3887,16,1,137,0,19,59
1772,9370,8248,88,16,791,1,57,169
1773,5112,4546,107,4,307,3,32,113
1775,6590,6169,44,11,218,0,25,123
1776,17659,16036,149,9,1041,9,99,316
1778,13109,11441,116,4,1287,2,51,208
1801,38903,32688,1639,62,2897,2,850,765
1803,24487,19774,801,39,3271,6,204,392
1810,33201,28360,391,24,3438,11,417,560
1821,30310,27426,500,39,1704,4,212,425
1824,24911,22271,240,27,1974,2,81,316
1826,29422,26581,735,40,1186,7,396,477
1827,3179,3031,7,3,98,4,0,36
1830,25137,21726,827,71,375,10,1482,646
1832,22060,18163,839,85,389,5,1868,711
1833,8183,7927,38,14,77,0,28,99
1834,6459,6290,31,5,59,2,17,55
1835,13682,12492,376,20,224,2,337,231
1840,4733,1891,454,104,42,3,1887,352
1841,47225,18613,3703,581,595,37,20265,3431
1843,24425,12206,1631,272,1258,17,7866,1175
1844,47249,38756,1476,160,1767,10,3908,1172
1845,28352,25144,506,28,1787,4,458,425
1850,15237,10098,1424,35,1388,8,1599,685
1851,30190,13393,1938,66,11514,13,2200,1066
1852,33508,23308,2240,90,3740,11,2980,1139
1854,27606,17457,1638,101,4871,12,2550,977
1860,6338,6149,40,10,41,0,21,77
1862,10227,9140,351,22,491,4,69,150
1863,8891,7673,118,8,872,0,64,156
1864,14892,14174,84,23,397,0,53,161
1867,23956,22552,141,17,909,6,77,254
1876,28667,27046,319,30,785,1,151,335
1879,11305,10403,120,14,535,0,74,159
1880,24733,23427,226,30,624,0,144,282
1886,21951,18678,83,18,2762,1,70,339
1887,22325,20869,174,18,831,13,117,303
1890,21382,18633,221,17,1998,9,80,424
1901,1689,987,379,13,31,2,194,83
1902,45139,22931,6889,388,3144,26,9146,2615
1904,18203,14693,1130,65,571,20,1156,568
1905,25251,13371,3142,193,2546,34,4699,1266
1906,26660,24504,552,39,712,3,437,413
1907,14027,13271,172,13,270,4,97,200
1908,3410,3290,16,3,58,0,19,24
1913,16283,15688,120,37,106,7,92,233
1915,39502,36868,647,62,686,23,584,632
1921,7961,7681,37,5,123,0,21,94
1922,3108,3045,8,7,22,0,6,20
1923,26342,25080,279,30,499,4,179,271
1929,3504,3406,12,3,35,1,7,40
1930,28789,27548,239,40,258,26,302,376
1937,151,147,3,0,1,0,0,0
1938,13175,12636,65,20,174,6,96,178
1940,12108,11426,65,5,426,0,61,125
1944,5136,5013,7,11,44,0,5,56
1945,19808,19087,151,22,202,1,115,230
1949,8987,8063,204,43,204,3,306,164
1950,17416,16788,98,24,195,1,93,217
1951,3558,3478,9,3,22,0,8,38
1952,8283,7978,38,19,98,1,30,119
1960,50944,46029,1202,91,945,5,1850,822
1966,6952,6745,45,5,56,6,22,73
1969,5856,5705,17,1,60,4,22,47
1970,41109,33478,2033,173,1090,21,2909,1405
1982,7764,7175,46,14,423,0,22,84
1983,6089,5889,35,5,77,0,17,66
1984,4875,4671,30,6,82,4,39,43
1985,4235,4127,6,4,44,0,6,48
2019,16332,15239,235,13,476,4,143,222
2021,21561,18273,1363,23,1319,2,214,367
2025,7542,7337,21,11,75,1,13,84
2026,24711,21841,1344,65,640,4,402,415
2030,5589,5158,37,7,288,4,18,77
2032,4226,3834,79,3,257,0,14,39
2035,16865,15665,324,27,539,4,104,202
2038,31635,29350,449,45,1194,5,147,445
2043,22157,21325,118,34,343,8,58,271
2045,10293,9802,94,52,102,5,68,170
2047,180,175,0,0,1,0,0,4
2048,23184,21227,634,59,793,8,141,322
2050,25429,24628,113,38,179,4,201,266
2052,12024,11435,74,9,325,0,40,141
2053,12752,12109,131,30,280,1,40,161
2054,7891,7430,60,22,238,1,35,105
2056,10981,9877,645,29,173,0,165,92
2061,10506,10114,64,8,181,0,32,107
2062,28602,24345,1483,51,1698,8,487,530
2066,17656,16958,103,14,134,7,211,229
2067,17486,14388,736,15,1915,6,110,316
2071,1707,1333,258,11,26,0,60,19
2072,26999,21665,2990,46,971,2,630,695
2081,18472,17350,346,19,450,1,128,178
2090,14636,13572,136,5,726,0,49,148
2093,10955,10634,61,19,112,0,23,106
2108,3825,3487,105,5,139,0,35,54
2109,3771,3320,120,6,225,0,48,52
2110,1733,1542,43,4,93,1,22,28
2111,7383,3295,276,3,3572,2,76,159
2113,6915,6541,48,13,174,3,63,73
2114,11999,9606,827,13,1171,3,143,236
2115,28441,19755,2414,73,4259,14,1044,882
2116,20628,15377,1329,26,3101,4,311,480
2118,26498,14256,5620,89,3620,10,1999,904
2119,25346,3759,15008,237,355,15,4295,1677
2120,15181,7634,3639,99,1685,5,1457,662
2121,25978,1971,18324,193,207,10,3898,1375
2122,23479,8766,6721,81,4058,13,2611,1229
2124,47783,10057,28141,225,2972,12,4068,2308
2125,33295,11508,10085,152,3737,29,5657,2127
2126,25562,1490,21444,144,223,10,1327,924
2127,31799,26094,1955,74,1532,15,1432,697
2128,40508,26243,1812,211,1449,19,8711,2063
2129,16439,13164,949,35,1339,11,596,345
2130,35401,23370,5029,208,1842,9,3258,1685
2131,29826,17125,7042,172,807,10,3333,1337
2132,25861,21643,1431,45,1639,8,571,524
2134,21503,14046,1096,51,3981,14,1471,844
