TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
13089023700,"Atlanta, GA",282,13089023700,14.6,19.7,32,33.2,44.8,13.9,11.7,28.4,3.1,20.4,2.6,4.7,2.9,8.5,15.5,10,23.3,2.7,24.5,76.8,57.7,65.4,76.8,81.6,85,56.8,26.1,23.7
13121000100,"Atlanta, GA",4413,13121000100,22.5,10.2,17,21,29.9,15.5,7.3,21.3,6,28.2,1.9,3.6,3.4,5.5,8.3,6.7,5.8,1.6,9.7,68.6,80.9,72.7,86.2,83,86,71,40.9,43.3
13121000200,"Atlanta, GA",5449,13121000200,23.5,10.5,17,21.4,30.4,14.4,7.1,20.8,5.4,27,1.9,3.4,3.3,5.3,8.3,6.5,5.7,1.6,10.2,67.5,80.2,71.3,84.9,83.4,86,70.7,40,41.9
13121000400,"Atlanta, GA",1715,13121000400,21.8,9.8,18,21,29.7,16.1,7.4,23.2,6.2,28.7,2.1,3.8,4,6.1,8.4,6.7,5.6,1.8,10.3,69.9,80.2,75.3,84.6,82.8,85,72.6,41.2,44.6
13121000500,"Atlanta, GA",4687,13121000500,23.2,10.3,18,20.7,31.6,11.6,7.6,18.7,4.2,22.7,1.7,2.9,2.7,4.7,9.1,5.9,5.8,1.4,12.1,67.6,78.4,67.3,80.1,83.5,84,70.9,40.4,43.1
13121000600,"Atlanta, GA",5203,13121000600,22.7,14.1,22,21,36.6,6.6,8,14.4,1.7,15.2,1.5,2.7,1.6,3.6,12.8,6.3,14.8,1.1,18.4,62.9,60.4,50.5,66.4,84.8,80,55,29.2,30.1
13121000700,"Atlanta, GA",2794,13121000700,23.7,25.3,31,32.5,44.7,11.8,9.2,28,2.7,22.7,2.2,5.1,3.6,7.9,14.2,10.3,24.9,2.5,30.6,68.5,48.8,63.3,72.6,81.1,82,51.9,24.4,30
13121001001,"Atlanta, GA",2272,13121001001,24.6,11.6,18,16.7,34.8,6,6.3,12.4,2,16.1,1.2,1.9,1.4,3,9.2,4.8,8.1,0.8,15.4,61.7,69.8,49.7,72.7,83.5,79,61.9,36.9,39.9
13121001002,"Atlanta, GA",6315,13121001002,26.3,14.7,22,17,34.4,3.6,8.4,9.4,0.9,9.9,1.2,2.4,1,1.9,16,5.6,20.2,0.6,20.5,59.4,61,27.6,55.4,84.2,70,52.8,25.1,27.3
13121001100,"Atlanta, GA",3633,13121001100,24.9,11.3,18,21.5,32.6,11.7,7.1,19.2,4.2,23.7,1.7,2.9,2.7,5,8.7,6,6.6,1.4,12,65.8,75.9,67.3,81.8,84.3,85,69.5,36.5,40.3
13121001201,"Atlanta, GA",3479,13121001201,25.2,11.8,18,21.4,32.3,11.2,7.5,18.6,4,22.2,1.7,3,2.8,4.8,9.3,6.1,7.9,1.5,13.3,65.2,75.3,66,79.1,82.6,85,69.6,36.5,38.5
13121001202,"Atlanta, GA",3937,13121001202,27.4,9.8,15,19.8,32.3,8.3,6.7,15.4,3,19.3,1.3,2,1.8,3.6,8,4.7,5.2,1,11.4,64.2,78,59.7,79.8,84.5,85,68.5,39,42.9
13121001300,"Atlanta, GA",4073,13121001300,25.3,14.1,20,23.1,34,11.1,7.8,19,3.6,22,1.7,3.3,2.7,4.9,10.5,6.8,10.3,1.5,15.1,64.9,71.6,64.2,77.9,83.2,84,65.7,35.2,35.8
13121001400,"Atlanta, GA",2182,13121001400,25.7,11.8,18,21.1,31.6,10.2,7.5,15.8,3.5,21.2,1.5,2.8,2.1,3.8,9.6,5.9,6,1.1,11.7,63.6,77,61.3,79.3,83.5,86,67.1,37.9,41.1
13121001500,"Atlanta, GA",4326,13121001500,24,13.5,20,23.6,32.9,12.6,7.7,20.3,4.2,24.3,1.9,3.7,3.1,5.6,10.4,7.2,8.6,1.7,13.7,65,72.6,68.3,79.1,82.9,85,66.2,35.1,38.7
13121001600,"Atlanta, GA",2072,13121001600,26.7,12.4,18,21.5,32.9,9.6,7.6,15.2,3.3,19.8,1.4,2.6,1.9,3.5,9.7,5.7,6.9,1.1,12.3,63.4,75.7,58.5,79.2,83.1,86,67,37.5,42.7
13121001700,"Atlanta, GA",2800,13121001700,20.8,12.8,22,27.1,37.9,12.5,8.9,24.1,3.7,22.1,2.1,3.2,2.8,6.8,10.4,7,11.9,2,15.5,71.3,68.7,70.6,81,85.8,86,65.5,28.9,32.7
13121001800,"Atlanta, GA",3927,13121001800,18.2,16.5,27,30.3,39.1,17.3,9.1,30.8,4.7,28.4,3,5.4,4.9,10.4,12.1,10,17.8,3.2,18,71.1,58.8,76.9,79.9,85.1,84,62.2,25.3,28.8
13121001900,"Atlanta, GA",4636,13121001900,23.2,15.7,24,24.7,37.3,9.8,8.6,20.6,2.4,20,1.9,3.6,2.8,6.2,13.2,7.6,13.7,1.8,19.1,66.2,64.2,65,69.8,84.8,81,61.5,27,32.2
13121002100,"Atlanta, GA",2451,13121002100,16.8,23,34,37.6,44.6,17.3,9.6,35.3,3.7,29,3.2,6.6,5.4,12.5,14.9,12.9,22.8,3.8,23.5,71.6,49.1,75.7,78.3,84.9,84,50.5,23,25.7
13121002300,"Atlanta, GA",1476,13121002300,12.1,27.3,44,43.9,47.6,26.7,11.7,49.1,5.6,35.9,5.2,11,9.4,20.7,16.9,18.6,33.7,7.1,30.4,78.3,41.4,83.1,81.8,84.3,83,52.3,18.8,22.2
13121002400,"Atlanta, GA",2273,13121002400,12.4,22,39,40.5,45.5,25.1,11.1,46,5.8,34,4.7,8.8,8.1,18.2,14.6,15.4,26.9,6.1,25.1,79.1,48.9,83.2,83.6,84.8,85,56.4,21.1,24.7
13121002500,"Atlanta, GA",1904,13121002500,14.6,22.8,36,38.6,45.7,19.8,11.5,38.5,4.3,29,3.9,7.5,6.1,14.3,15.9,13.8,28.3,4.7,26.9,76.1,47,77.3,78.4,85.2,84,54.2,20.3,24
13121002600,"Atlanta, GA",914,13121002600,13.6,27.4,41,43.1,48.2,20.2,12,40.1,4,29,4.2,8.5,6.2,15.1,18.4,15.9,34.1,5.1,30.1,75.3,40.1,76.2,76.7,84.9,84,48.3,18.4,22.9
