TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
6075025200,"San Francisco, CA",5369,06075025200,23.2,11.3,15,20.7,28.5,16.5,8.2,23.5,5.4,28.4,2.3,3.7,3.7,7.3,10.4,9.1,6.3,2,8.6,65.8,74.9,65.1,82.8,82.2,87,70,35,31.3
6075025300,"San Francisco, CA",4362,06075025300,25.4,11.3,14,19.8,29,14.2,7.9,20.9,4.8,26,2.1,3.1,3.1,6.4,10.1,8.2,6.4,1.7,8.7,64,73.5,61.5,81.3,81.8,87,69.2,34.8,31
6075025401,"San Francisco, CA",3404,06075025401,23.3,12.6,16,20.6,30.2,16,8.5,23.1,5,28,2.3,3.8,3.6,7.8,11.1,9.7,7.9,2,11.1,65.5,70,64.2,81.2,81,85,67,31.1,29.6
6075025402,"San Francisco, CA",2912,06075025402,20.6,11.6,17,19.4,29.7,17.3,8.1,25.5,5.6,30,2.6,3.9,4,8.8,10.3,9.7,6.6,2.3,9.6,67.7,73.3,68.5,83.2,80.8,84,68.7,32.4,30.6
6075025403,"San Francisco, CA",4267,06075025403,20,12.7,19,20.5,31.9,16.6,8.1,25.6,5.1,29.7,2.6,3.9,4.1,9.6,11.2,10.4,9.6,2.3,12.5,67,65.2,67.6,80.9,79.5,83,63.2,29.8,27.3
6075025500,"San Francisco, CA",8471,06075025500,18.5,10.7,18,16.8,31.4,15.9,7.1,25.3,5.2,30.7,2.5,3.4,4.1,9.7,9.4,9.4,7.5,2.2,11.3,68.1,69,69.8,82.3,79.2,80,64.6,31.4,29.3
6075025600,"San Francisco, CA",5618,06075025600,16.4,11.9,20,16.3,32.6,16.8,7.1,27.5,5.2,32.2,2.8,3.8,4.7,11.3,10,10.5,8.9,2.6,13,69.1,66.2,71.9,81.3,77.3,77,62.7,30,29
6075025701,"San Francisco, CA",4788,06075025701,16,11.6,20,14.9,33.8,16.4,7,26.7,5.2,31.8,2.7,3.7,4.4,10.8,9.6,10,10,2.5,12.4,69.3,63.9,71.8,81.4,77.2,75,61,29.4,28.6
6075025702,"San Francisco, CA",4665,06075025702,14.4,13.8,24,16.2,34.7,17.7,7.4,29.1,5.1,33.7,3,4.5,5.3,12.7,11,12.1,12.5,3,15.1,69,58.9,72.9,79.7,76.6,74,57.2,27.4,25.9
6075025800,"San Francisco, CA",1960,06075025800,15.3,12.8,21,17,34.4,17.2,7.6,28.4,5.1,32.3,2.9,4.1,4.7,11.7,10.4,11,11.2,2.8,12.8,69.5,62.1,72.2,81.4,77.7,76,60.3,28.1,27.4
6075025900,"San Francisco, CA",4261,06075025900,16.4,10.3,18,16,31.7,18.1,7.3,28.3,6.1,31.9,2.8,3.8,4.7,10.4,9,9.6,8.8,2.7,10,71.1,69.9,73.5,83.8,79.5,78,65.7,32.3,29.9
6075026001,"San Francisco, CA",5863,06075026001,17.9,14.5,23,20.5,33.5,16.6,7.9,26.9,4.6,31.3,3,4.4,4.8,11.5,12.4,12.3,11.8,2.7,17.8,66.1,59.4,68.3,77.7,78,79,58,27,24.7
6075026002,"San Francisco, CA",3544,06075026002,16.6,9.8,19,17.3,29.7,20.8,7.3,30.1,7.6,33.1,3.2,4.5,5.9,10.7,9.1,10.6,9.8,3.1,12.2,71.2,69.3,74.7,83.9,79.3,80,65.1,32.9,28.2
6075026003,"San Francisco, CA",4908,06075026003,18.1,12.4,21,17.9,32.6,16.5,7.5,26.3,5.1,31.1,2.7,3.9,4.4,10.7,10.6,10.7,9.4,2.5,14.6,67.8,65.3,69.7,80.4,77.7,78,62.5,30.1,28.6
6075026004,"San Francisco, CA",4315,06075026004,17.9,12.7,21,17.7,32.7,15.9,7.4,25.8,4.7,30.7,2.7,3.8,4.4,10.6,10.8,10.7,9.3,2.5,14.6,67.1,64.9,69,79.6,78.3,78,61.3,28.7,27.9
6075026100,"San Francisco, CA",6810,06075026100,16.1,12.2,21,15.4,33.5,16.4,7.2,26.7,5,31.9,2.7,3.8,4.5,11.1,10.1,10.5,9.8,2.5,13.5,68.7,63.6,71.4,80.7,77.3,76,60.4,29.1,28.2
6075026200,"San Francisco, CA",7564,06075026200,15.8,12.5,22,16,33.7,16.2,7,27.2,4.9,32.1,2.8,3.8,4.6,11.5,10.3,10.7,9.8,2.6,13.9,68.5,62.9,71.5,80.1,77.9,76,60.3,28.6,27
6075026301,"San Francisco, CA",4875,06075026301,15.1,13,23,16,33.9,17,7.1,28.3,5,33.3,2.9,4.1,5,12.4,10.5,11.5,11.1,2.8,14.8,68.7,60.1,72.5,80.1,76.5,75,57.6,27.1,25.7
6075026302,"San Francisco, CA",4992,06075026302,16.3,12.1,20,16.5,33.1,16.8,7.3,27.1,5.2,31.8,2.8,3.9,4.5,11,10.1,10.5,9.2,2.6,12.5,69,65.8,71.3,81.2,77.8,77,62.1,30.3,29
