TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
17031282700,"Chicago, IL",2349,17031282700,22,18.7,26,32.4,38.2,15.1,9.3,25.8,3.3,23.9,2.5,4.7,3.5,8.7,13.6,10.5,16.4,2.3,17.8,65.7,52.3,64,78.6,80.5,86,52,27.3,20.5
17031282800,"Chicago, IL",1691,17031282800,24.9,13.3,21,26.7,33.3,12.6,7.7,20.7,3.4,22.5,2,3.2,2.9,6.7,10.8,7.7,8.2,1.6,13.4,63.4,64.5,61.6,79.8,79.7,86,59.4,32.6,26.4
17031283100,"Chicago, IL",2703,17031283100,20.8,12.4,21,24.5,34.2,14.1,8.3,22.8,3.8,22.6,2.3,3.7,3.3,7.2,11,7.8,11.5,2.1,10.8,65.7,62.9,68.2,78,80.8,83,61.8,31.6,24.1
17031283200,"Chicago, IL",1664,17031283200,24.2,13.4,20,26.9,34.4,14,8.6,22.3,3.6,22.5,2.1,3.6,2.8,6.4,11,7.7,9.9,1.8,10.1,65.7,65.4,64.6,80.9,81.7,87,59.9,35,27.2
17031283800,"Chicago, IL",3688,17031283800,21.6,16.6,24,30.4,36.1,18.2,9.2,29.1,4.6,25.7,2.9,5.1,4.4,9.6,11.9,9.8,15,3,14.2,68,60.2,71.9,81.4,81.9,87,62.6,27.9,23.1
17031290900,"Chicago, IL",4530,17031290900,15.6,26.8,38,45.5,45.6,25.8,12.6,43.7,4.8,30.5,4.5,9.6,7.1,16.8,17.8,17,29.9,5.7,20.8,75.2,40.9,75.7,81.3,81.8,87,50.5,21,17.2
17031291200,"Chicago, IL",2240,17031291200,16.8,26.6,36,44.1,45.7,22.5,12.7,39.6,4,27.5,3.9,8.4,5.5,14.1,18,15.5,28.1,4.6,20.5,74.2,42.4,72,80,81.3,87,49.8,21.4,18.6
17031291600,"Chicago, IL",1055,17031291600,22.4,18.7,30,34.4,37.1,16.3,8.9,26.8,3.6,26.7,2.8,4.9,4.2,10.6,13.7,12,13.8,2.4,25.6,65,53.2,64.5,80.1,78.2,86,51.4,26.2,20.6
17031292200,"Chicago, IL",2961,17031292200,16.1,26.2,37,44.1,45.7,25.1,12.4,42.7,4.8,29.9,4.3,9.2,6.8,16,17.3,16.4,31.5,5.5,20.6,75,39.7,75.3,81.5,80.9,87,49.9,20.5,16.6
17031292400,"Chicago, IL",2268,17031292400,15.9,28.3,39,45.6,46.8,25.7,12.8,43.8,4.7,30.5,4.5,9.9,7,16.7,18.1,17.4,34,5.7,22.6,74.9,36.5,75.1,81,80.5,87,48,19.9,16.7
17031292500,"Chicago, IL",4140,17031292500,15.4,23.7,36,42.7,44.1,27,12.5,44.3,5.5,31.4,4.7,9.5,7.5,17,16.3,16.3,27.6,5.9,19.6,76.5,44.5,77.5,83,80.6,86,53,22.5,19.1
17031300500,"Chicago, IL",3257,17031300500,21.3,22.8,37,37.6,38.1,16.1,9,27.3,3.2,27.8,3.3,6.2,5.2,12.4,17,15.6,23.8,2.9,37.7,60.8,38.6,62,73.5,75.5,84,41.1,21.9,16.4
17031300600,"Chicago, IL",3212,17031300600,19.8,20.9,36,37.6,37.2,19,9.2,30.8,4,29.8,3.7,6.7,6,13.8,15.7,15.4,21.1,3.5,32.5,64.4,45.6,68.5,77.7,77,86,46.9,23.5,18.7
17031300700,"Chicago, IL",5194,17031300700,19.8,23.7,40,39.2,38.5,16.9,9,27.9,3.2,29.2,3.7,6.7,5.6,13.7,18.2,17.2,27.5,3.1,40.5,60.2,33.6,62.6,72.8,75.8,84,35.6,19.7,14.1
17031300800,"Chicago, IL",4610,17031300800,18.7,25.6,43,41,38.5,18,9.3,29.7,3.3,30.7,4,7.6,6.4,15.2,19.4,19,27.2,3.4,43.3,60.2,33,63.9,71.9,74.8,83,36.4,19.2,14.9
17031300900,"Chicago, IL",5050,17031300900,19.6,24.3,41,40.1,38.5,17.1,9,28.4,3.2,29.6,3.8,6.9,5.9,14.2,18.5,17.8,26.5,3.1,41.4,59.9,34.2,62.6,72.6,75,84,36.9,19.7,15.1
17031301100,"Chicago, IL",2617,17031301100,19.7,22.8,39,38.9,38,17.4,8.9,28.6,3.5,29.5,3.7,6.7,5.9,13.7,17.5,16.6,25.7,3.1,37.4,61.2,35.6,64.3,74,76.3,85,38.9,20,15.1
17031301200,"Chicago, IL",4012,17031301200,18.4,24.4,42,41.1,37.8,18.5,9,30.7,3.5,30.9,4.1,7.6,6.7,15.2,18.6,18.2,25.3,3.6,39.2,61.4,36.8,65.9,73.3,76.3,85,38.8,21.1,15
17031301600,"Chicago, IL",4654,17031301600,20.2,21.8,38,38.2,36.8,17.1,8.5,28,3.4,29.7,3.6,6.3,5.8,13.7,16.9,16.4,21.8,3,39.1,60.7,39.5,63.9,74.4,75.8,85,40.1,21.6,16.2
17031301701,"Chicago, IL",4381,17031301701,20.7,21.7,38,38.2,37.6,16.6,8.3,27.8,3.4,29.4,3.5,6.1,5.7,13.6,16.5,16,24,2.9,39.1,60.5,35.7,63.4,74.2,75.9,84,39.1,20.3,14.9
17031301702,"Chicago, IL",4045,17031301702,21.1,21.3,38,37.2,37.1,16.1,8.4,26.4,3.3,28.4,3.3,5.7,5.1,12.5,16.4,15.3,21.2,2.6,38,60.6,40.3,62.4,74.7,76.1,84,40.9,21.6,16.4
17031301801,"Chicago, IL",4005,17031301801,19.9,21.9,39,38.2,37.7,17.5,8.5,28.4,3.6,30.1,3.6,6.4,5.7,13.8,16.6,16.4,24.4,3,38.6,61.3,36.9,64.7,75.4,75.4,84,39.2,20.6,15.8
17031301802,"Chicago, IL",3518,17031301802,20.3,22.1,39,38.4,37.5,16.7,8.5,27.9,3.3,29.4,3.5,6.2,5.7,13.6,17,16.3,23,3,39.1,60.7,37.5,63.7,73.9,75.6,84,39.5,20.6,15.3
17031301803,"Chicago, IL",5357,17031301803,20.9,21.7,38,37.3,37.6,16.2,8.5,26.7,3.3,28.6,3.3,5.9,5.2,12.8,16.7,15.6,23.4,2.7,39.3,60.5,37.2,62.5,74.1,75.8,84,39.6,20.9,15.5
17031310200,"Chicago, IL",1336,17031310200,24.5,14.8,24,29.5,31.8,14.8,7.6,23.2,4,25.9,2.5,4.2,4,8.5,11.5,9.6,8.5,2,17.8,62.7,64.8,64,80.7,79.6,87,57.3,32.2,24.8
17031310300,"Chicago, IL",1697,17031310300,24.6,16,26,29.8,33.2,14.2,7.9,22.4,3.6,25.4,2.5,4.2,3.8,8.7,12.5,10.2,11.5,1.9,20.8,61.9,57.7,62.5,78.4,77.7,86,53.7,29.3,22.9
17031310400,"Chicago, IL",1332,17031310400,22.8,16.2,27,31.6,34.1,14.9,8,23.7,3.6,26.3,2.7,4.5,4.2,9.7,12.9,11,13,2.1,23,62.4,53.5,63.5,78.8,78.8,87,52.4,25.9,19.6
17031310500,"Chicago, IL",1700,17031310500,23.5,15.8,28,32,34.5,14.9,7.7,24.2,3.7,26.9,2.7,4.2,4.2,10.4,12.6,11.1,12.9,2.1,26.7,62.5,52.4,64.1,79.1,77.6,85,50.4,26.8,20.6
17031310600,"Chicago, IL",5868,17031310600,21,20.2,34,36.1,35.7,16.7,8.4,27.8,3.6,28.9,3.4,6,5.6,12.6,15.4,14.2,19.6,2.9,28.9,61.9,45.5,65.8,75.6,77.5,85,45.1,23.5,17.6
17031310700,"Chicago, IL",1692,17031310700,22.4,18.6,32,34,34.8,16.2,7.8,26.5,3.9,28.4,3.2,5.4,5.5,11.6,14.1,13.2,18,2.7,29.8,61.7,48.3,64.9,77,78.4,86,46.1,27.2,17.9
17031310800,"Chicago, IL",4516,17031310800,22.8,17.8,31,33,35.1,15.7,8.2,24.8,3.7,27.3,2.9,4.9,4.6,10.8,14,12.6,16.2,2.3,30.2,61.9,48.6,63.4,77.5,76.3,85,47.9,25.4,19.6
17031310900,"Chicago, IL",5123,17031310900,22.3,19,32,34.3,35.3,15.6,8.2,25.2,3.5,27.6,3,5.3,4.7,11.2,14.7,13.3,17,2.4,30.6,61.1,47.3,62.9,76.3,76.6,85,46.1,25.4,19
17031320100,"Chicago, IL",10848,17031320100,25.6,9.2,15,20.4,29.6,15.1,7.1,20.6,5.1,24.9,1.8,3.1,3.1,5.5,8,6.1,5.2,1.5,7.2,65.5,75.7,68.4,84.5,79.2,86,69.4,41.9,34.6
17031320400,"Chicago, IL",2518,17031320400,33.3,10.7,14,17.4,29.4,6.3,9.3,10.2,1.7,12.1,1,2.2,1.1,2.2,12.6,4.7,7.3,0.6,9.5,61,74.1,41.5,70.5,77.4,80,65.8,38.6,34.8
17031320600,"Chicago, IL",4256,17031320600,26.7,9.8,15,21.1,29.7,12.1,7.8,18.1,3.6,20.9,1.6,2.7,2.3,4.9,9.3,5.8,5.2,1.3,7.6,64.1,76.1,64,80.8,80.7,87,68.7,39.1,32.7
17031330100,"Chicago, IL",16735,17031330100,26,10.9,16,23.9,31.9,14,7.7,21.4,4.2,22.9,1.9,2.9,2.6,5.8,8.7,6.3,6.1,1.6,8,65.6,74.3,66.5,84.4,81.9,88,68.1,37.1,30.1
17031330200,"Chicago, IL",3806,17031330200,19.9,13,21,26.2,33.6,19.7,8.2,30,5.6,29.9,2.7,4.6,4.5,9.9,9.4,8.9,8.7,2.7,9.8,70.7,69,75.3,87.1,79,86,65.3,33.6,29
17031340300,"Chicago, IL",1786,17031340300,12.2,19.8,37,20.5,39.9,21.9,7,35.1,5.3,37.2,4,7.4,8,17.2,12.2,14.5,22.6,4.4,20.3,69.3,41.3,79.4,80.1,69,71,40.9,24.2,19.2
17031340400,"Chicago, IL",1900,17031340400,13.3,19.4,34,20,39.8,17.2,6.8,29.2,4,32.5,3.1,5.9,5.8,13.7,12.2,12.6,19.2,3.3,19.5,66.5,45.5,74.4,77.6,72.8,73,41.5,25.5,20.3
17031340500,"Chicago, IL",1544,17031340500,15.9,18.6,33,27,34.5,27.6,8.5,39.1,7.3,38.2,4.5,9.4,9.3,16.9,12.6,14.9,18.5,5.2,18.3,71,52.6,81.7,81.5,72.8,79,56.5,27.3,22.7
17031340600,"Chicago, IL",907,17031340600,10.7,33.2,49,52,47.4,35.8,14.9,54.9,6.3,38.2,7.7,17.4,13.1,26.5,22.8,26.3,46.3,10.7,27.2,77.5,27.8,81.7,79.9,78.7,86,43.8,16.5,13.3
17031350100,"Chicago, IL",2144,17031350100,17.6,11.4,21,27.2,37.2,16.1,8.2,28.3,4.1,24.6,2.6,3.7,3.6,9.2,9.5,7.9,10.9,2.6,10.1,70.4,61.4,73,82.5,83.8,86,62.5,30.5,25.1
17031350400,"Chicago, IL",389,17031350400,11.7,34.1,48,53.1,48.7,33,14.6,52.1,5.1,35.9,6.4,15.2,9.8,23.7,22.9,24.8,41.8,8.5,24.5,76.3,30.2,80.4,81,81.2,86,40.9,17.4,13.6
17031351000,"Chicago, IL",3267,17031351000,16.8,13,24,31.4,38.2,20.9,9.3,34.9,5.4,27.5,3.3,4.9,4.9,11.6,10.2,9.5,13.5,3.5,11.2,74.3,60.2,77.3,84.9,83.3,86,63.8,28.3,23.4
17031351100,"Chicago, IL",1960,17031351100,13.2,30.1,42,49.7,47.5,27.5,14,45.2,4.7,31,5.5,11.7,7.9,18.5,21.3,20.2,37.2,6.8,22.2,74.7,32.8,75.5,79,81.4,87,46,18.6,14.3
17031351400,"Chicago, IL",1437,17031351400,13.3,28.1,41,48.3,45.9,30.1,12.7,49.5,5.6,34.6,5.7,12.1,9.3,20.9,18.6,20.1,34.7,7.4,20.9,76.4,36.5,79.7,82.5,81.5,87,46.4,19,15.2
17031351500,"Chicago, IL",255,17031351500,19.3,20.5,29,37.3,41,17.6,10.7,31.4,3.3,24.2,3.1,5.9,3.9,10.7,15.5,11.8,20.5,3.3,15.2,69.5,50.3,69.2,77,83.5,88,54.4,24.2,21.6
17031360200,"Chicago, IL",1443,17031360200,15.1,29.6,39,47.2,47.2,24.2,13.7,41.2,4,28.3,4.3,9.7,5.8,15.4,20.2,17.7,31.1,5.2,21.9,74,37.6,72.5,79.2,82.1,88,48.7,19.3,16.6
17031380100,"Chicago, IL",1924,17031380100,13.3,23.9,37,45.3,43.1,31.7,12.3,50.4,6.6,36.2,5.7,11.5,10.1,21.3,15.8,18.5,26.8,7.4,19.2,77.8,44.4,81.7,85.5,81.1,88,55.5,22.1,18.8
17031380200,"Chicago, IL",1680,17031380200,9.4,17.7,39,42.1,39.9,40.5,11.6,59,10.3,40.7,7.6,13,13.4,25.5,12.9,19.3,28.3,10.1,17.4,83.3,44.7,87.8,89.6,79.6,88,58.8,22.2,17.3
17031380500,"Chicago, IL",752,17031380500,13.8,33,44,49.6,46.3,25.5,14.6,42.8,4,28.9,4.8,11.3,6,16.6,22.9,20.2,28.6,5.8,24.9,73.8,41.3,72.9,76.8,81.5,87,53.3,23.6,17.4
