TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
48201431600,"Houston, TX",3352,48201431600,16.6,7,18,23,24.3,26.1,6.7,34.1,10.9,41.8,3,4.4,6.5,9.3,7,8.4,4.8,2.8,8.7,75.8,81.8,81.3,90.4,78.1,85,75,41.3,41.5
48201431700,"Houston, TX",4591,48201431700,16.6,8.7,20,25,26.2,26.6,6.9,35.4,10.1,42.8,3.1,5,6.9,10.4,7.9,9.4,6,3,10,75.3,78.6,81.1,90,77.6,84,72.9,39.8,40.7
48201431801,"Houston, TX",2967,48201431801,20.9,7.5,16,20.5,27.9,16.8,6.1,24.1,6.8,32.3,2.1,2.9,4,6.4,7.2,6.4,5.2,1.8,11.6,69.3,77.9,73.1,84.7,78.1,83,73.7,41,40.8
48201431802,"Houston, TX",3695,48201431802,22.4,10.5,19,24.3,30.5,15.6,6.7,23.7,5.6,30.8,2.1,3.2,3.9,6.8,9.1,7.6,8.1,1.9,14.7,67,71.3,68.9,82,78,83,64.9,35.4,34.1
48201431900,"Houston, TX",3786,48201431900,24.4,8.3,16,21.4,29,13.6,6.4,20.7,5.4,27.5,1.8,2.4,3.2,5.4,8,5.9,5.8,1.5,13,66.6,76,67.4,81.5,78.7,84,70,39.2,36
48201432001,"Houston, TX",3464,48201432001,22.3,12.9,22,27.3,32.4,14.8,7.1,24.2,4.5,30.6,2.1,3.5,3.7,7.7,10.4,8.5,9.3,1.9,18.7,66.6,67.2,66.6,80.7,77.5,83,62.8,34.7,35.6
48201432002,"Houston, TX",4734,48201432002,23.9,18.3,28,31.9,36.2,11.3,8,21.5,2.7,25.4,2.1,3.7,3,7.2,14.5,10.3,18.4,1.8,33.7,62,50.8,55,70.6,76.2,81,52.4,26.4,28
48201432100,"Houston, TX",5054,48201432100,22.4,15.7,26,30.2,33.8,12.9,7.5,23.2,3.5,27.4,2.2,3.6,3.4,7.7,12.7,9.4,11.3,1.9,26.2,64.5,62.7,61.6,74.5,78,82,60.3,31.5,31.9
48201432200,"Houston, TX",4043,48201432200,21.2,13.8,24,29.1,33.5,16.9,7.6,26.7,5.1,32.1,2.5,4.2,4.4,8.9,11.2,9.8,12.8,2.3,22.3,67.7,62.6,69.4,80.4,76.5,82,61.7,31.1,33.2
48201432300,"Houston, TX",6521,48201432300,20.7,18.9,30,34.4,38,13,8.7,25.2,3,26.7,2.3,4,3.2,8.4,14.7,10.8,15,2.1,29.5,65.9,54.1,60.3,73.9,78.6,82,54.4,26.7,28.4
48201432400,"Houston, TX",5548,48201432400,19.4,19.3,31,36,38.7,14.7,8.6,27.7,3.3,29.2,2.6,4.6,3.9,9.8,14.9,11.8,18.8,2.5,29.8,66.5,48.9,63.9,74.6,77.3,82,51.4,25.5,26.4
48201432500,"Houston, TX",5529,48201432500,18,20.1,34,38.5,38,16.9,8.5,30.2,3.8,32.5,3.2,5.6,5.1,12,15.9,14,22.2,3.1,33.3,65.6,45.6,67.1,74.3,77.1,82,49.9,23.6,24.8
48201432600,"Houston, TX",1888,48201432600,20.3,17.9,29,33.1,34.7,19.1,8.2,30,5.3,33.6,2.9,5.6,5.5,10.2,13.4,12,15.5,2.9,25.2,67.7,59.1,70,78.4,75.7,82,59.2,30.5,30.6
48201432701,"Houston, TX",6721,48201432701,20.7,27.3,44,41.3,39.2,11.7,8.2,25.3,2.1,28.4,3,5.4,4.3,10.9,20.7,16.8,33.2,2.5,57.2,56.8,30.2,51.6,59.9,73.9,79,37.6,17.7,18.7
48201432702,"Houston, TX",3384,48201432702,24.8,15,24,28.7,32.7,12.4,7.3,20.9,3.6,27.1,2,3.5,3.2,6.7,12.1,9.1,12.6,1.7,27.1,62.3,61.7,59.2,75,76.7,83,61,31.9,33.2
48201432801,"Houston, TX",4767,48201432801,18.9,21,35,37,38.9,14.9,8.4,28.6,3.2,30.5,2.9,5.1,4.5,11.1,16,13.3,21.2,2.8,36.1,65,44.9,64.3,72.3,76.4,81,47.7,22.5,24.6
48201432802,"Houston, TX",5616,48201432802,16,22.8,43,38.3,38.5,20.4,8.5,34.8,4.9,36.8,4.4,7.7,8.3,16,17.7,18.2,34.1,4.8,47.6,65.5,34.6,70.8,70.6,73.3,79,41.8,19.5,18.2
48201432901,"Houston, TX",3484,48201432901,17.9,22.9,40,39.9,38.6,16.8,8.2,30.5,3.6,33.7,3.6,6.3,6,13.7,17.7,16.4,30.3,3.4,46,63,36.1,65.6,70,74.5,81,42.7,20.6,20.5
48201432902,"Houston, TX",4476,48201432902,17.2,21.5,38,34.7,38.4,17.7,8.1,31.1,4.1,35.1,3.4,6.1,6,13.7,15.9,15.3,24.4,3.4,40.1,65.5,43.1,68.8,73.1,73.2,77,46.2,22.6,24.1
48201433001,"Houston, TX",5358,48201433001,15.8,25.8,45,36.8,41.7,16.2,8.2,30.8,3.2,34.7,3.7,6.6,6.2,15.1,18.9,17.8,37.1,3.8,49.7,62.2,28.7,65.7,66.3,73.3,74,37.4,16.3,16.5
48201433002,"Houston, TX",4859,48201433002,18.7,24.9,42,36.8,40.7,12.8,8.2,26.6,2.4,30.2,3,5.1,4.5,11.9,18.8,15.7,32.3,2.7,51.5,60.4,30.2,58.7,64.2,72.1,76,35.3,16.8,17.8
48201433003,"Houston, TX",4831,48201433003,12.8,24.9,46,33.9,42.3,19.4,8.1,36.2,4,39.1,4.4,7.2,8,18.9,17.8,18.7,34.5,4.9,45.5,66.8,28.9,73.3,70.6,70.2,73,35.2,16.5,17.2
